OID_,OBJECTID,UTMX,UTMY,LongitudeI,LatitudeI
25055,25056,658132.4589,4768084.634,-79.058403,43.048985
11051,11052,658117.2491,4768084.913,-79.058589,43.048991
22072,22073,658125.8207,4768085.115,-79.058484,43.048991
5782,5783,658144.0034,4768085.404,-79.058261,43.048989
19740,19741,658161.4697,4768085.423,-79.058046,43.048986
4236,4237,658149.3908,4768085.5,-79.058195,43.048989
10598,10599,658192.9802,4768086.273,-79.05766,43.048987
21666,21667,658175.1788,4768086.289,-79.057878,43.048991
14333,14334,658214.5541,4768090.141,-79.057394,43.049017
14433,14434,658217.6823,4768090.149,-79.057355,43.049017
15326,15327,658314.773,4768091.857,-79.056163,43.049012
9911,9912,658230.0077,4768092.193,-79.057203,43.049033
12200,12201,658238.717,4768092.358,-79.057097,43.049032
5969,5970,658331.3201,4768092.674,-79.05596,43.049016
19776,19777,658339.1127,4768093.155,-79.055864,43.049018
7762,7763,658460.7222,4768099.678,-79.05437,43.049052
15307,15308,658470.4351,4768099.878,-79.054251,43.049052
8133,8134,658488.5666,4768100.383,-79.054028,43.049052
8445,8446,658507.3292,4768101.061,-79.053798,43.049055
13612,13613,658526.3312,4768101.956,-79.053564,43.049059
8559,8560,658561.1342,4768103.783,-79.053137,43.049068
18730,18731,658543.2082,4768103.787,-79.053357,43.049072
24214,24215,658580.5833,4768104.462,-79.052898,43.04907
8470,8471,658616.3145,4768106.085,-79.052459,43.049077
13494,13495,658597.472,4768106.175,-79.05269,43.049082
23416,23417,658635.7804,4768106.446,-79.05222,43.049076
16855,16856,658670.6086,4768108.645,-79.051792,43.049089
17557,17558,658760.6902,4768111.539,-79.050686,43.049096
10146,10147,658733.4016,4768112.139,-79.051021,43.049107
3924,3925,658794.6822,4768113.003,-79.050268,43.049102
8311,8312,658822.0674,4768114.254,-79.049932,43.049108
4103,4104,658803.0039,4768115.168,-79.050166,43.04912
8050,8051,658851.5513,4768115.365,-79.04957,43.049111
15895,15896,658860.835,4768115.365,-79.049456,43.049109
23206,23207,658877.4928,4768116.69,-79.049251,43.049118
18117,18118,658923.7665,4768117.556,-79.048683,43.049116
3919,3920,658905.7971,4768118.363,-79.048903,43.049127
6488,6489,658934.2047,4768118.47,-79.048555,43.049122
22380,22381,658959.4192,4768119.37,-79.048245,43.049125
8367,8368,658993.762,4768120.303,-79.047823,43.049126
18126,18127,658974.2828,4768120.524,-79.048062,43.049132
919,920,659026.8888,4768122.157,-79.047416,43.049136
18798,18799,659039.3954,4768123.264,-79.047262,43.049143
7096,7097,658098.0527,4768168.658,-79.058801,43.049748
9628,9629,658122.2991,4768169.554,-79.058503,43.049751
21168,21169,658277.6669,4768170.995,-79.056596,43.049732
10989,10990,658143.6071,4768171.99,-79.058241,43.049769
3152,3153,658428.2771,4768177.789,-79.054746,43.049762
624,625,658107.2686,4768181.532,-79.058684,43.049862
5894,5895,658119.211,4768182.751,-79.058537,43.049871
17653,17654,658561.3775,4768183.436,-79.053111,43.049785
24747,24748,658138.9312,4768183.524,-79.058295,43.049874
13638,13639,658584.542,4768185.289,-79.052826,43.049796
7593,7594,658603.3614,4768185.41,-79.052595,43.049794
25543,25544,658544.5446,4768185.958,-79.053317,43.049811
3531,3532,658148.5059,4768188.466,-79.058176,43.049916
4121,4122,658729.1289,4768189.442,-79.051051,43.049804
7112,7113,658634.5563,4768190.352,-79.052211,43.049832
10184,10185,658713.274,4768190.678,-79.051245,43.049818
19256,19257,658437.6138,4768190.756,-79.054628,43.049876
7040,7041,658785.8094,4768191.371,-79.050355,43.049809
19736,19737,658746.6871,4768191.371,-79.050835,43.049817
22957,22958,658766.1453,4768191.989,-79.050596,43.049819
24300,24301,658802.2819,4768192.504,-79.050152,43.049816
3862,3863,658818.6342,4768193.763,-79.049951,43.049824
15640,15641,658839.1219,4768194.072,-79.0497,43.049822
13624,13625,658858.5801,4768195.925,-79.049461,43.049835
25391,25392,658877.3268,4768196.358,-79.04923,43.049835
19337,19338,658699.5812,4768196.546,-79.051411,43.049874
13977,13978,658895.6525,4768196.564,-79.049005,43.049833
21030,21031,658564.6602,4768196.786,-79.053067,43.049904
14290,14291,658914.9048,4768197.285,-79.048769,43.049835
10584,10585,658581.3346,4768197.579,-79.052862,43.049908
6127,6128,658933.0246,4768197.902,-79.048546,43.049837
4382,4383,658606.508,4768198.582,-79.052553,43.049912
16264,16265,658549.2758,4768198.798,-79.053255,43.049925
13469,13470,658596.225,4768198.914,-79.052679,43.049917
12766,12767,658161.5568,4768199.994,-79.058013,43.050017
4122,4123,658642.9985,4768201.162,-79.052105,43.049927
16915,16916,658624.5816,4768201.519,-79.05233,43.049934
